Name,Cluster,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
chevrolet chevelle malibu,1,18,8,307,130,3504,12,70,1
buick skylark 320,2,15,8,350,165,3693,11.5,70,1
plymouth satellite,1,18,8,318,150,3436,11,70,1
amc rebel sst,1,16,8,304,150,3433,12,70,1
ford torino,1,17,8,302,140,3449,10.5,70,1
ford galaxie 500,5,15,8,429,198,4341,10,70,1
chevrolet impala,5,14,8,454,220,4354,9,70,1
plymouth fury iii,5,14,8,440,215,4312,8.5,70,1
pontiac catalina,5,14,8,455,225,4425,10,70,1
amc ambassador dpl,2,15,8,390,190,3850,8.5,70,1
citroen ds-21 pallas,1,0,4,133,115,3090,17.5,70,2
chevrolet chevelle concours (sw),2,0,8,350,165,4142,11.5,70,1
ford torino (sw),2,0,8,351,153,4034,11,70,1
plymouth satellite (sw),5,0,8,383,175,4166,10.5,70,1
amc rebel sst (sw),2,0,8,360,175,3850,11,70,1
dodge challenger se,1,15,8,383,170,3563,10,70,1
plymouth 'cuda 340,1,14,8,340,160,3609,8,70,1
ford mustang boss 302,1,0,8,302,140,3353,8,70,1
chevrolet monte carlo,2,15,8,400,150,3761,9.5,70,1
buick estate wagon (sw),1,14,8,455,225,3086,10,70,1
toyota corona mark ii,3,24,4,113,95,2372,15,70,3
plymouth duster,4,22,6,198,95,2833,15.5,70,1
amc hornet,4,18,6,199,97,2774,15.5,70,1
ford maverick,4,21,6,200,85,2587,16,70,1
datsun pl510,3,27,4,97,88,2130,14.5,70,3
volkswagen 1131 deluxe sedan,3,26,4,97,46,1835,20.5,70,2
peugeot 504,4,25,4,110,87,2672,17.5,70,2
audi 100 ls,3,24,4,107,90,2430,14.5,70,2
saab 99e,3,25,4,104,95,2375,17.5,70,2
bmw 2002,3,26,4,121,113,2234,12.5,70,2
amc gremlin,4,21,6,199,90,2648,15,70,1
ford f250,6,10,8,360,215,4615,14,70,1
chevy c20,5,10,8,307,200,4376,15,70,1
dodge d200,5,11,8,318,210,4382,13.5,70,1
hi 1200d,6,9,8,304,193,4732,18.5,70,1
datsun pl510,3,27,4,97,88,2130,14.5,71,3
chevrolet vega 2300,3,28,4,140,90,2264,15.5,71,1
toyota corona,3,25,4,113,95,2228,14,71,3
ford pinto,3,25,4,98,0,2046,19,71,1
volkswagen super beetle 117,3,0,4,97,48,1978,20,71,2
amc gremlin,4,19,6,232,100,2634,13,71,1
plymouth satellite custom,1,16,6,225,105,3439,15.5,71,1
chevrolet chevelle malibu,1,17,6,250,100,3329,15.5,71,1
ford torino 500,1,19,6,250,88,3302,15.5,71,1
amc matador,1,18,6,232,100,3288,15.5,71,1
chevrolet impala,5,14,8,350,165,4209,12,71,1
pontiac catalina brougham,5,14,8,400,175,4464,11.5,71,1
ford galaxie 500,5,14,8,351,153,4154,13.5,71,1
plymouth fury iii,2,14,8,318,150,4096,13,71,1
dodge monaco (sw),0,12,8,383,180,4955,11.5,71,1
ford country squire (sw),6,13,8,400,170,4746,12,71,1
pontiac safari (sw),0,13,8,400,175,5140,12,71,1
amc hornet sportabout (sw),4,18,6,258,110,2962,13.5,71,1
chevrolet vega (sw),3,22,4,140,72,2408,19,71,1
pontiac firebird,1,19,6,250,100,3282,15,71,1
ford mustang,1,18,6,250,88,3139,14.5,71,1
mercury capri 2000,3,23,4,122,86,2220,14,71,1
opel 1900,3,28,4,116,90,2123,14,71,2
peugeot 304,3,30,4,79,70,2074,19.5,71,2
fiat 124b,3,30,4,88,76,2065,14.5,71,2
toyota corolla 1200,3,31,4,71,65,1773,19,71,3
datsun 1200,3,35,4,72,69,1613,18,71,3
volkswagen model 111,3,27,4,97,60,1834,19,71,2
plymouth cricket,3,26,4,91,70,1955,20.5,71,1
toyota corona hardtop,3,24,4,113,95,2278,15.5,72,3
dodge colt hardtop,3,25,4,97.5,80,2126,17,72,1
volkswagen type 3,3,23,4,97,54,2254,23.5,72,2
chevrolet vega,3,20,4,140,90,2408,19.5,72,1
ford pinto runabout,3,21,4,122,86,2226,16.5,72,1
chevrolet impala,5,13,8,350,165,4274,12,72,1
pontiac catalina,5,14,8,400,175,4385,12,72,1
plymouth fury iii,2,15,8,318,150,4135,13.5,72,1
ford galaxie 500,2,14,8,351,153,4129,13,72,1
amc ambassador sst,2,17,8,304,150,3672,11.5,72,1
mercury marquis,6,11,8,429,208,4633,11,72,1
buick lesabre custom,5,13,8,350,155,4502,13.5,72,1
oldsmobile delta 88 royale,5,12,8,350,160,4456,13.5,72,1
chrysler newport royal,5,13,8,400,190,4422,12.5,72,1
mazda rx2 coupe,3,19,3,70,97,2330,13.5,72,3
amc matador (sw),2,15,8,304,150,3892,12.5,72,1
chevrolet chevelle concours (sw),2,13,8,307,130,4098,14,72,1
ford gran torino (sw),5,13,8,302,140,4294,16,72,1
plymouth satellite custom (sw),2,14,8,318,150,4077,14,72,1
volvo 145e (sw),4,18,4,121,112,2933,14.5,72,2
volkswagen 411 (sw),4,22,4,121,76,2511,18,72,2
peugeot 504 (sw),4,21,4,120,87,2979,19.5,72,2
renault 12 (sw),3,26,4,96,69,2189,18,72,2
ford pinto (sw),3,22,4,122,86,2395,16,72,1
datsun 510 (sw),3,28,4,97,92,2288,17,72,3
toyouta corona mark ii (sw),4,23,4,120,97,2506,14.5,72,3
dodge colt (sw),3,28,4,98,80,2164,15,72,1
toyota corolla 1600 (sw),3,27,4,97,88,2100,16.5,72,3
buick century 350,2,13,8,350,175,4100,13,73,1
amc matador,2,14,8,304,150,3672,11.5,73,1
chevrolet malibu,2,13,8,350,145,3988,13,73,1
ford gran torino,2,14,8,302,137,4042,14.5,73,1
dodge coronet custom,2,15,8,318,150,3777,12.5,73,1
mercury marquis brougham,0,12,8,429,198,4952,11.5,73,1
chevrolet caprice classic,5,13,8,400,150,4464,12,73,1
ford ltd,5,13,8,351,158,4363,13,73,1
plymouth fury gran sedan,5,14,8,318,150,4237,14.5,73,1
chrysler new yorker brougham,6,13,8,440,215,4735,11,73,1
buick electra 225 custom,0,12,8,455,225,4951,11,73,1
amc ambassador brougham,2,13,8,360,175,3821,11,73,1
plymouth valiant,1,18,6,225,105,3121,16.5,73,1
chevrolet nova custom,1,16,6,250,100,3278,18,73,1
amc hornet,4,18,6,232,100,2945,16,73,1
ford maverick,4,18,6,250,88,3021,16.5,73,1
plymouth duster,4,23,6,198,95,2904,16,73,1
volkswagen super beetle,3,26,4,97,46,1950,21,73,2
chevrolet impala,0,11,8,400,150,4997,14,73,1
ford country,0,12,8,400,167,4906,12.5,73,1
plymouth custom suburb,6,13,8,360,170,4654,13,73,1
oldsmobile vista cruiser,5,12,8,350,180,4499,12.5,73,1
amc gremlin,4,18,6,232,100,2789,15,73,1
toyota carina,3,20,4,97,88,2279,19,73,3
chevrolet vega,3,21,4,140,72,2401,19.5,73,1
datsun 610,3,22,4,108,94,2379,16.5,73,3
maxda rx3,3,18,3,70,90,2124,13.5,73,3
ford pinto,3,19,4,122,85,2310,18.5,73,1
mercury capri v6,4,21,6,155,107,2472,14,73,1
fiat 124 sport coupe,3,26,4,98,90,2265,15.5,73,2
chevrolet monte carlo s,2,15,8,350,145,4082,13,73,1
pontiac grand prix,5,16,8,400,230,4278,9.5,73,1
fiat 128,3,29,4,68,49,1867,19.5,73,2
opel manta,3,24,4,116,75,2158,15.5,73,2
audi 100ls,4,20,4,114,91,2582,14,73,2
volvo 144ea,4,19,4,121,112,2868,15.5,73,2
dodge dart custom,1,15,8,318,150,3399,11,73,1
saab 99le,4,24,4,121,110,2660,14,73,2
toyota mark ii,4,20,6,156,122,2807,13.5,73,3
oldsmobile omega,2,11,8,350,180,3664,11,73,1
plymouth duster,1,20,6,198,95,3102,16.5,74,1
ford maverick,4,21,6,200,0,2875,17,74,1
amc hornet,4,19,6,232,100,2901,16,74,1
chevrolet nova,1,15,6,250,100,3336,17,74,1
datsun b210,3,31,4,79,67,1950,19,74,3
ford pinto,4,26,4,122,80,2451,16.5,74,1
toyota corolla 1200,3,32,4,71,65,1836,21,74,3
chevrolet vega,4,25,4,140,75,2542,17,74,1
chevrolet chevelle malibu classic,2,16,6,250,100,3781,17,74,1
amc matador,1,16,6,258,110,3632,18,74,1
plymouth satellite sebring,1,18,6,225,105,3613,16.5,74,1
ford gran torino,2,16,8,302,140,4141,14,74,1
buick century luxus (sw),6,13,8,350,150,4699,14.5,74,1
dodge coronet custom (sw),5,14,8,318,150,4457,13.5,74,1
ford gran torino (sw),6,14,8,302,140,4638,16,74,1
amc matador (sw),5,14,8,304,150,4257,15.5,74,1
audi fox,3,29,4,98,83,2219,16.5,74,2
volkswagen dasher,3,26,4,79,67,1963,15.5,74,2
opel manta,3,26,4,97,78,2300,14.5,74,2
toyota corona,3,31,4,76,52,1649,16.5,74,3
datsun 710,3,32,4,83,61,2003,19,74,3
dodge colt,3,28,4,90,75,2125,14.5,74,1
fiat 128,3,24,4,90,75,2108,15.5,74,2
fiat 124 tc,3,26,4,116,75,2246,14,74,2
honda civic,4,24,4,120,97,2489,15,74,3
subaru,3,26,4,108,93,2391,15.5,74,3
fiat x1.9,3,31,4,79,67,2000,16,74,2
plymouth valiant custom,1,19,6,225,95,3264,16,75,1
chevrolet nova,1,18,6,250,105,3459,16,75,1
mercury monarch,1,15,6,250,72,3432,21,75,1
ford maverick,1,15,6,250,72,3158,19.5,75,1
pontiac catalina,6,16,8,400,170,4668,11.5,75,1
chevrolet bel air,5,15,8,350,145,4440,14,75,1
plymouth grand fury,5,16,8,318,150,4498,14.5,75,1
ford ltd,6,14,8,351,148,4657,13.5,75,1
buick century,2,17,6,231,110,3907,21,75,1
chevroelt chevelle malibu,2,16,6,250,105,3897,18.5,75,1
amc matador,2,15,6,258,110,3730,19,75,1
plymouth fury,2,18,6,225,95,3785,19,75,1
buick skyhawk,4,21,6,231,110,3039,15,75,1
chevrolet monza 2+2,1,20,8,262,110,3221,13.5,75,1
ford mustang ii,1,13,8,302,129,3169,12,75,1
toyota corolla,3,29,4,97,75,2171,16,75,3
ford pinto,4,23,4,140,83,2639,17,75,1
amc gremlin,4,20,6,232,100,2914,16,75,1
pontiac astro,4,23,4,140,78,2592,18.5,75,1
toyota corona,4,24,4,134,96,2702,13.5,75,3
volkswagen dasher,3,25,4,90,71,2223,16.5,75,2
datsun 710,4,24,4,119,97,2545,17,75,3
ford pinto,4,18,6,171,97,2984,14.5,75,1
volkswagen rabbit,3,29,4,90,70,1937,14,75,2
amc pacer,1,19,6,232,90,3211,17,75,1
audi 100ls,4,23,4,115,95,2694,15,75,2
peugeot 504,4,23,4,120,88,2957,17,75,2
volvo 244dl,4,22,4,121,98,2945,14.5,75,2
saab 99le,4,25,4,121,115,2671,13.5,75,2
honda civic cvcc,3,33,4,91,53,1795,17.5,75,3
fiat 131,4,28,4,107,86,2464,15.5,76,2
opel 1900,3,25,4,116,81,2220,16.9,76,2
capri ii,4,25,4,140,92,2572,14.9,76,1
dodge colt,3,26,4,98,79,2255,17.7,76,1
renault 12tl,3,27,4,101,83,2202,15.3,76,2
chevrolet chevelle malibu classic,5,17.5,8,305,140,4215,13,76,1
dodge coronet brougham,5,16,8,318,150,4190,13,76,1
amc matador,2,15.5,8,304,120,3962,13.9,76,1
ford gran torino,5,14.5,8,351,152,4215,12.8,76,1
plymouth valiant,1,22,6,225,100,3233,15.4,76,1
chevrolet nova,1,22,6,250,105,3353,14.5,76,1
ford maverick,4,24,6,200,81,3012,17.6,76,1
amc hornet,1,22.5,6,232,90,3085,17.6,76,1
chevrolet chevette,3,29,4,85,52,2035,22.2,76,1
chevrolet woody,3,24.5,4,98,60,2164,22.1,76,1
vw rabbit,3,29,4,90,70,1937,14.2,76,2
honda civic,3,33,4,91,53,1795,17.4,76,3
